generation,N_shifts,logPrior,logLik,eventRate,acceptRate
122000,69,-52.6229,-4474.88,60.7506,0.299
123000,71,-11.2172,-4423.43,72.6222,0.3036
124000,76,-2.32147,-4446.43,70.4341,0.304
125000,75,-1.86477,-4454.58,64.2234,0.319
126000,79,-2.17963,-4428.6,83.1035,0.308
127000,76,0.23408,-4428.9,55.1011,0.283
128000,77,-2.67399,-4431.74,78.7815,0.305
129000,80,-0.510894,-4395.14,64.1533,0.309
130000,89,-0.413688,-4392.05,80.6391,0.289
131000,80,-7.27979,-4408.64,76.4583,0.28
132000,81,-8.78895,-4407.51,73.7982,0.309
133000,98,18.0595,-4572.09,94.4099,0.308084
134000,96,15.6107,-4577.77,88.2659,0.287
135000,101,22.9834,-4554.07,84.4182,0.294
136000,78,-11.9576,-4425.24,74.8886,0.3135
137000,76,-18.4191,-4440.97,70.6952,0.308
138000,77,-16.9638,-4437.11,67.7846,0.331
139000,81,-11.6796,-4433.1,91.1141,0.322
140000,61,-41.1621,-4473.43,60.5927,0.300944
141000,86,16.9427,-4570.15,77.7865,0.3085
142000,90,7.34151,-4557.49,80.7314,0.297
143000,70,-56.8093,-4464.56,59.2777,0.302
144000,102,13.3671,-4522.79,88.4418,0.296
145000,92,13.8278,-4531.07,88.6218,0.314705
146000,88,4.53233,-4459.18,80.9822,0.316286
147000,88,2.22164,-4457.95,80.9822,0.288
148000,83,1.18353,-4441.65,87.6607,0.346
149000,80,1.53449,-4452.54,80.1236,0.305
150000,78,3.59082,-4447.23,67.1688,0.298
151000,74,-0.0341906,-4421.32,73.6998,0.292
152000,72,-10.8223,-4433.86,65.175,0.342
153000,66,-16.5393,-4426.28,80.2005,0.313
154000,69,-8.34422,-4406.72,72.1831,0.328
155000,73,-4.84745,-4402.86,67.5445,0.321
156000,73,-14.8258,-4423.79,79.9954,0.314
157000,76,-12.8856,-4430.2,57.8347,0.317
158000,81,-20.8352,-4430.73,70.7193,0.302
159000,80,-16.0079,-4431.38,78.0636,0.307
160000,78,-19.9306,-4447.41,71.586,0.32
161000,76,-1.94691,-4453.84,54.6431,0.34
162000,77,-9.14113,-4440.94,75.0404,0.304
163000,78,-9.68459,-4424.07,60.1596,0.299
164000,82,-13.55,-4427.18,83.4479,0.337
165000,81,-8.32139,-4450.52,67.6646,0.307
166000,77,-11.175,-4458.27,70.9627,0.3
167000,77,-2.53387,-4461.61,59.9858,0.288
