generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.86829,-5.05278e+09,10,1
1000,6,-6031.03,-1.49498e+09,6.91125,0.17
2000,4,-4141.42,-1.10054e+08,2.16324,0.155
3000,3,-5125.07,-2.80853e+07,4.90887,0.12
4000,3,-1379.19,-6.88197e+06,3.18102,0.118
5000,3,-2649.89,-2.38757e+06,6.54029,0.137972
6000,4,-13229.8,-288293,7.84247,0.134311
7000,2,-27095.5,-169679,0.917085,0.119
8000,3,-36695,-60869,3.16315,0.121
9000,2,-40946.7,-48459.7,4.16135,0.113
10000,2,-40897.7,-48165.1,2.32322,0.101
11000,3,-40547.3,-48153.4,7.04226,0.119
12000,3,-38957.7,-49673.4,3.73053,0.115714
13000,6,-39526.4,-48736.5,5.96649,0.1185
14000,2,-40383.5,-47766.1,1.1931,0.115
15000,3,-39328.2,-48552.4,5.32833,0.1025
16000,6,-39329.2,-48449,7.5275,0.103
17000,5,-39018.9,-36500.6,6.52573,0.109
18000,8,-32502,-36583.5,5.70396,0.128
19000,5,-28107.9,-39334.2,2.48322,0.122
20000,3,-28718.7,-38482.1,4.0125,0.12
21000,3,-28699.4,-38440.2,2.06721,0.116
22000,1,-28577.1,-38450.1,1.10357,0.115333
23000,2,-28631.5,-38356.8,4.32905,0.113
24000,3,-28631.1,-38146.1,8.03627,0.123
25000,2,-28627.8,-38116.7,2.20177,0.121
26000,4,-28476.3,-38135.1,3.65778,0.105
27000,4,-28479.6,-38075.6,4.29683,0.103
28000,7,-28481.8,-38058.7,6.55144,0.145
29000,4,-28341.3,-38133.1,4.50485,0.12
30000,4,-28368.2,-38053.9,1.07038,0.128
31000,4,-28367.9,-38042,4.82007,0.123
32000,2,-28369.9,-37987.3,1.77903,0.116
33000,4,-28415.6,-37915.7,3.77915,0.119
34000,3,-28404.3,-37859.7,3.40153,0.116
35000,1,-28503.3,-37765.9,1.59505,0.114385
36000,3,-28411.5,-37814.6,2.15264,0.1235
37000,3,-28416.3,-37644.3,1.34869,0.122
38000,2,-28354.4,-37698.3,0.820476,0.119839
39000,3,-28483.9,-37605.6,4.43335,0.10325
40000,2,-28314.7,-37725.2,2.00104,0.116
41000,2,-28279.1,-37708.5,1.41303,0.105333
42000,1,-28236.9,-37726.3,0.694757,0.11
43000,2,-28284.1,-37672.9,2.70838,0.1175
44000,2,-28285.5,-37631.8,1.28918,0.113
45000,2,-28285.1,-37600.1,2.6039,0.109
46000,6,-27982.9,-37899.3,7.18126,0.119
47000,2,-27939.8,-37921.6,2.09094,0.108
48000,2,-28018.7,-37790.1,3.01186,0.114091
49000,2,-28017.8,-37779.4,2.05793,0.101
50000,2,-28048,-37726.9,2.78497,0.115
51000,2,-28007.2,-37755.5,1.72,0.085
52000,3,-27913.1,-37830.1,4.35824,0.105
53000,2,-27913.3,-37836.2,5.45935,0.115
54000,2,-28041.6,-37713.7,0.654228,0.105333
55000,2,-27976.1,-37773.9,3.95,0.097
56000,2,-28025.2,-37721.7,2.9019,0.097
57000,3,-28024.1,-37729.5,3.70718,0.108
58000,2,-27976.4,-37764.1,1.28769,0.09
59000,2,-28039.7,-37694.7,1.37522,0.112167
60000,2,-28095.9,-37632.2,2.35193,0.111
61000,2,-28093.7,-37610.8,2.66007,0.103
62000,3,-28096.2,-37587.4,3.63077,0.091
63000,5,-28095.5,-37558.1,6.86809,0.104
64000,3,-28043.7,-37609.5,2.78337,0.129
65000,2,-28108.5,-37548.6,2.81528,0.116
66000,3,-28057,-37587.1,3.41706,0.097
67000,2,-28035.6,-37602.4,2.30491,0.122
68000,3,-28036.9,-37583.9,2.45365,0.104
69000,2,-28032.6,-37576.4,2.63178,0.125
70000,6,-28030.1,-37583.2,5.9561,0.108
71000,5,-28035.1,-37571,2.6616,0.115
72000,3,-28055.5,-37540.6,0.90211,0.118
73000,3,-28002.1,-37562.3,3.62179,0.108867
74000,3,-27976,-37584.8,4.93558,0.12
75000,2,-27964.2,-37600.9,2.91857,0.114
76000,4,-28021,-37529.9,2.65951,0.111
77000,4,-28015.2,-37533.2,4.56337,0.119
78000,4,-27972.7,-37556.8,2.56987,0.129
79000,2,-28014.1,-37513.8,4.31106,0.12
80000,4,-27840.9,-37670.7,5.4565,0.104
81000,2,-27925.4,-37631.6,1.52444,0.112692
82000,3,-27914.1,-37638.8,6.81881,0.105
83000,3,-27913.6,-37633.4,4.48138,0.108
84000,3,-27913.7,-37632.3,4.26275,0.118
85000,3,-27878.1,-37677.3,2.55149,0.112462
86000,3,-27870.4,-37668.7,3.34211,0.129
87000,2,-27871.6,-37662.3,2.66946,0.104
88000,3,-27841.5,-37673.8,10.5068,0.110625
89000,2,-27920.2,-37608.3,3.81825,0.1106
90000,2,-27896,-37636.3,2.43295,0.099
91000,2,-27820.4,-37708,0.752094,0.0993333
92000,3,-28167.3,-37369.9,1.45144,0.10324
93000,2,-28134.5,-37398,4.52537,0.087
94000,1,-27787.5,-37735.7,1.91936,0.089
95000,1,-27787.4,-37715.4,0.718955,0.102
96000,2,-27896.5,-37594,2.21774,0.1048
97000,5,-27893.1,-37602.6,2.97804,0.13
98000,1,-27780.3,-37719.7,2.20861,0.111667
99000,1,-27792,-37697.7,0.416449,0.092
100000,3,-27946.5,-37551.1,3.94972,0.106692
101000,2,-27959.2,-37536.1,2.65803,0.105
102000,2,-27941.2,-37546.4,1.55694,0.092
103000,2,-27941.3,-37537,2.87098,0.122
104000,2,-28002.3,-37464.8,5.68467,0.106
105000,2,-28017.5,-37441.2,1.87747,0.108733
106000,1,-27886,-37564.2,0.306274,0.098
107000,1,-27761.9,-37677.2,3.5962,0.103
108000,1,-27784.9,-37651.5,1.52142,0.098
109000,1,-27751.9,-37694.4,0.853387,0.098
110000,5,-27885.6,-37562.1,2.80706,0.1072
111000,4,-27885.4,-37557.4,5.10848,0.111
112000,1,-27730.4,-37701,0.692975,0.111
113000,1,-27733.8,-37699.6,2.95301,0.101
114000,2,-27837.9,-37618.2,3.74539,0.109588
115000,2,-27762.4,-37684.1,3.01611,0.107
116000,3,-27887.6,-37564,4.98571,0.106917
117000,3,-27839.6,-37612.5,1.73093,0.106667
118000,3,-27911,-37534.7,1.5844,0.107857
119000,3,-27846.8,-37580.2,12.3129,0.107
