generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-3.0268e+06,10,0
1000,0,-49.618,-21235.5,0.712812,0.199
2000,0,-424.521,-7188.69,0.12615,0.267
3000,1,-419.201,-7137.27,0.488152,0.32
4000,3,-428.482,-7159.8,2.79859,0.28018
5000,2,-450.173,-7155.29,0.929947,0.327
6000,4,-428.274,-7117.3,5.09681,0.300117
7000,1,-421.451,-7142.03,3.65893,0.3225
8000,4,-425.029,-7101.26,6.16825,0.356
9000,0,-426.221,-7091.45,0.226547,0.33
10000,1,-419.334,-7075.25,0.613765,0.321
11000,2,-398.215,-7103.81,0.535405,0.293
12000,2,-419.752,-7101.3,1.33976,0.333286
13000,1,-425.741,-7085.25,1.5725,0.325
14000,4,-411.711,-7083.78,1.72505,0.339
15000,0,-415.267,-7072.28,0.378685,0.317
16000,4,-395.554,-7082.78,8.00691,0.3242
17000,2,-414.908,-7074.49,2.45873,0.32
18000,0,-421.013,-7077.9,1.09498,0.331
19000,0,-418.131,-7099.98,2.33944,0.299
20000,5,-409.522,-7096.8,2.49234,0.314984
21000,1,-412.235,-7087.15,1.31484,0.3095
22000,2,-421.442,-7068.39,3.28138,0.313
23000,2,-385.74,-7103.33,0.773812,0.307125
24000,0,-436.273,-7062.42,0.0381171,0.316
25000,1,-377.93,-7110.44,2.57604,0.315
26000,0,-387.467,-7108.72,0.753164,0.329
27000,0,-422.502,-7052.36,1.98845,0.294
28000,3,-418.352,-7134.51,3.08033,0.319875
29000,1,-439.222,-7085.98,0.227091,0.324
30000,1,-402.631,-7097.65,1.55519,0.351
31000,1,-389.023,-7074.43,1.69545,0.3295
32000,1,-406.906,-7073.29,0.351898,0.334
33000,0,-413.964,-7084.01,0.156716,0.32
34000,4,-407.604,-7091.23,2.41751,0.291
35000,0,-424.992,-7100.28,0.0822008,0.328
36000,0,-423.023,-7089.33,0.577094,0.294
37000,2,-425.834,-7064.22,2.54184,0.310333
38000,0,-420.184,-7096.3,0.533091,0.3035
39000,0,-395.013,-7134.08,0.158574,0.320143
40000,1,-430.179,-7088.5,2.06079,0.333
41000,3,-413.757,-7100.51,5.8795,0.331
42000,3,-440.804,-7084.29,3.64337,0.3175
43000,1,-426.065,-7083.21,1.63955,0.3255
44000,0,-416.576,-7085.49,0.0475086,0.308
45000,1,-415.3,-7106.36,0.316308,0.287
46000,0,-406.44,-7105.94,0.0241222,0.299
47000,1,-420.312,-7103.66,1.75125,0.314643
48000,2,-407.407,-7089.4,2.62716,0.345
49000,6,-404.182,-7100.11,6.20338,0.328
50000,3,-424.657,-7094.47,4.4066,0.313875
51000,2,-421.166,-7059.31,4.08761,0.3144
52000,0,-444.966,-7077.06,0.464642,0.3196
53000,7,-409.276,-7077.02,7.88977,0.3235
54000,2,-395.139,-7091.83,2.24463,0.326
55000,3,-406.165,-7077.58,4.29009,0.307
