generation,leftchild,rightchild,abstime,betainit,betashift
0,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.5,0
1000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,32.4178,0.290716
2000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,415.553,0.208925
3000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,415.553,0.157933
3000,Carex_bonatiana|EHM|spm00005907,NA,29.1609,0.211681,0.0353387
4000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,424.683,0.181823
4000,Carex_wahuensis_ssp_robusta||NCBI_Amano_SM00027,NA,34.0988,0.92887,-0.0218692
4000,Carex_imbecilla||spm00004419,NA,33.2637,0.240205,-0.00984397
4000,Carex_capitata|KRA|spm00002036,NA,33.3261,0.739984,-0.0666472
5000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,445.766,0.181823
5000,Carex_fulvorubescens|JAP|spm00006431,NA,32.5035,0.663366,-0.0402782
5000,Carex_kobomugi|VRG|spm00000979,NA,33.8448,0.437757,0.0319702
6000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,421.97,0.191836
6000,Carex_sprengelii|NBR|spm00001766,NA,33.7191,2.54675,-0.046245
6000,Carex_ussuriensis|CHS|spm00000533,NA,33.8944,0.666335,-0.0592337
6000,Carex_duriuscula|ASK|spm00001653,Carex_stenophylla|HUN|spm00002178,30.2945,0.381219,-0.0590547
6000,Carex_drucei||spm00004418,NA,33.5514,0.99053,-0.0227571
7000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,416.576,0.132624
7000,Carex_heleonastes|ABT|spm00001954,NA,32.518,2.7531,0.0211456
8000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,422.455,0.132624
8000,Carex_frigida|SPA|spm00000521,NA,31.2924,0.570297,-0.096581
8000,Carex_duriuscula|ASK|spm00001653,NA,33.2397,0.64332,-0.0571512
8000,Carex_leiorhyncha|KOR|spm00002471,NA,32.8195,0.0809743,-0.0125785
8000,Carex_spartea|NAT|spm00007814,NA,32.7959,2.16504,-0.0505306
9000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,422.455,0.132624
10000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,416.202,0.145287
10000,Carex_microglochin|NOR|spm00001705,NA,25.4061,0.697667,-0.00357629
11000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,394.588,0.145287
11000,Carex_tomentosa|SPA|spm00000568,NA,25.3169,1.57064,0.0207093
11000,Carex_rochebrunii|CHT|spm00006409,NA,31.9369,1.51446,0.0234018
12000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,415.132,0.141203
12000,Carex_makinoensis|JAP|spm00006665,NA,32.9656,0.899261,0.0833258
12000,Carex_pudica|JAP|spm00006673,NA,33.5192,0.487797,0.0908577
13000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,421.449,0.141203
13000,Carex_lancea|CPP|spm00003764,NA,33.0102,1.52242,0.0487683
14000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,410.342,0.152652
14000,Carex_microcarpa|COR|spm00007912,NA,33.9668,0.538165,-0.0640948
14000,Carex_cumberlandensis|ARK|spm00000817,NA,33.0202,0.424065,0.0200367
14000,Carex_asturica|SPA|spm00004385,NA,32.19,1.784,0.00244745
14000,Carex_cephaloidea|MAI|spm00000804,NA,33.4309,0.845299,-0.0246997
15000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,410.342,0.152652
16000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,394.524,0.145287
16000,Carex_microcarpa|COR|spm00007912,NA,32.5095,0.242927,-0.0640948
16000,Carex_duriuscula|ASK|spm00001653,Carex_stenophylla|HUN|spm00002178,30.2331,1.81184,-0.019074
16000,Carex_maritima|YUK|spm00002500,NA,33.8778,0.53629,0.0435365
16000,Carex_anthoxanthea|WAS|spm00001568,NA,32.0912,0.10991,-0.0239065
17000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,412.328,0.145287
17000,Carex_duriuscula|ASK|spm00001653,Carex_stenophylla|HUN|spm00002178,29.1577,1.17411,-0.019074
17000,Carex_pachygyna|JAP|spm00002558,NA,32.3676,0.727904,-0.0180884
18000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,416.456,0.145287
19000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,413.449,0.145287
20000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,408.461,0.136273
20000,Carex_platyphylla|MRY|spm00001152,NA,33.5083,2.32956,-0.0179804
20000,Carex_laticeps|JAP|NCBI_Waterway_3656,NA,33.7747,2.11873,-0.0277087
20000,Carex_longipes|EHM|spm00005772,NA,21.8054,0.90633,-0.0112355
20000,Carex_nardina|QUE|spm00001510,NA,27.5795,0.0406235,0.0410183
20000,Carex_satsumensis|TAI|spm00005838,NA,11.8787,0.185118,0.0739955
21000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,406.915,0.176726
21000,Carex_manhartii|GEO|spm00001761,NA,33.2044,0.740498,0.0161517
22000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,418.619,0.127445
22000,Carex_fulvorubescens|JAP|spm00006431,NA,30.648,1.85979,-0.0487131
22000,Carex_baccans||spm00007862,NA,33.3766,0.749538,-0.0212995
23000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,383.434,0.146581
23000,Carex_tomentosa|SPA|spm00000568,NA,26.7035,0.208107,-0.00472874
23000,Carex_bostrychostigma|JAP|spm00003784,Carex_dissitiflora|JAP|spm00007871,24.3704,1.61718,-0.0121173
24000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,432.795,0.127445
25000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,374.764,0.127445
25000,Carex_curaica|KRA|spm00002337,NA,33.9776,1.5028,-0.00621661
26000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,383.917,0.127445
27000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,418.828,0.127445
28000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,411.847,0.164811
28000,Carex_cumberlandensis|ARK|spm00000817,NA,33.5406,2.20001,0.0258921
28000,Carex_rupestris|FRA|spm00005213,NA,30.3072,2.01699,-0.0524381
28000,Carex_pauciflora|ASK|spm00001142,NA,32.0815,0.820248,-0.0723644
29000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,431.08,0.164811
29000,Carex_hallii|MAN|spm00001754,NA,33.6941,4.21104,0.0404156
30000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,400.493,0.129804
30000,Carex_killickii|NAT|spm00007793,NA,31.9065,0.289412,0.0294946
31000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,386.048,0.127445
31000,Carex_anthoxanthea|WAS|spm00001568,NA,27.2914,1.23421,0.0294946
32000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,404.575,0.129804
32000,Carex_satsumensis|TAI|spm00005838,NA,19.4251,0.635101,0.0266785
