generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2920000,1,-4445.35,-12801.2,1.32642,0.169
2921000,0,-4499.99,-12750.3,0.453511,0.14
2922000,1,-4432.3,-12818.8,3.10067,0.155786
2923000,1,-4488.85,-12776.2,0.893982,0.1595
2924000,0,-4398.36,-12864,0.341009,0.147
2925000,0,-4467.5,-12789.7,0.679804,0.132
2926000,0,-4448.03,-12815.8,0.934406,0.151
2927000,0,-4440.26,-12824.8,0.994784,0.152133
2928000,0,-4441.2,-12813.3,0.366758,0.154
2929000,1,-4440.19,-12822,4.08647,0.137
2930000,0,-4425.58,-12852.1,0.102446,0.153875
2931000,0,-4458.03,-12824,0.999752,0.165
2932000,0,-4457.98,-12800.4,0.473229,0.151
2933000,2,-4457,-12808.3,3.63731,0.163
2934000,1,-4405.37,-12869.1,1.07133,0.154391
2935000,0,-4407.5,-12867.8,2.41221,0.175
2936000,0,-4469.59,-12803.8,1.96747,0.134
2937000,0,-4365.11,-12920,0.618266,0.154
2938000,0,-4389.82,-12875.7,0.868117,0.1562
2939000,0,-4344.12,-12924,1.27978,0.145
2940000,7,-4359.11,-12921.4,7.88494,0.171333
2941000,0,-4354.4,-12939.3,2.49435,0.1548
2942000,2,-4351.97,-12952.3,2.66242,0.173
2943000,0,-4340.14,-12925.9,1.23791,0.154643
2944000,0,-4346.43,-12906,0.939121,0.15
2945000,1,-4466.88,-12790.2,0.985814,0.166
2946000,6,-4524.16,-12749.7,6.90045,0.17175
2947000,3,-4409.7,-12842.1,1.43661,0.167333
2948000,4,-4396.63,-12855.1,2.84554,0.172333
2949000,0,-4405.7,-12853.1,0.413197,0.184
2950000,0,-4406,-12851.7,0.459683,0.156
2951000,0,-4455.58,-12828.3,0.154289,0.176818
2952000,0,-4436.94,-12858.9,3.08104,0.149
2953000,1,-4435.69,-12845.3,1.74274,0.194
2954000,0,-4424.49,-12848,2.59,0.168125
2955000,2,-4449.7,-12807.8,4.19167,0.152
2956000,2,-4434.01,-12821.9,1.04503,0.165
2957000,2,-4393.69,-12877.1,2.38909,0.158
2958000,1,-4394.07,-12878.3,3.54573,0.169
2959000,0,-4396.2,-12882.9,0.79561,0.126
2960000,1,-4431.15,-12829.2,2.42564,0.1503
2961000,1,-4383.52,-12882,1.63031,0.162
2962000,0,-4382.7,-12887.1,0.126038,0.129
2963000,1,-4504.51,-12760.9,1.30838,0.141
2964000,1,-4448.41,-12809.5,0.840952,0.145875
2965000,0,-4517.79,-12766.3,0.242299,0.154
2966000,0,-4458.06,-12807.5,1.83764,0.140333
2967000,0,-4351.53,-12899.6,0.0205872,0.147
2968000,0,-4366.62,-12918.1,0.0213537,0.145333
2969000,1,-4391.66,-12896.3,2.97969,0.167
2970000,1,-4369.79,-12884,0.929665,0.149636
2971000,0,-4367.75,-12894.9,0.0257937,0.161
2972000,1,-4370.11,-12876.6,2.77113,0.134
2973000,1,-4363.01,-12920.5,0.797165,0.153667
2974000,0,-4332.5,-12913.5,0.00527009,0.139
2975000,1,-4317.75,-12954.2,3.85502,0.139
2976000,2,-4321.33,-12950.9,2.80043,0.154
2977000,2,-4337.31,-12934.5,1.52844,0.168
2978000,0,-4338.42,-12928.6,1.05293,0.148
2979000,0,-4434.41,-12839.6,0.0488464,0.168
2980000,0,-4410.65,-12837.9,0.543808,0.148938
2981000,0,-4408.09,-12834.6,1.90669,0.147
2982000,3,-4430.07,-12833.9,1.62204,0.151
2983000,3,-4436.49,-12831.9,3.0586,0.176
2984000,2,-4435.56,-12835.8,2.89742,0.152909
2985000,2,-4436.95,-12821.6,2.54886,0.1565
2986000,0,-4396.99,-12867.6,0.968089,0.173
2987000,3,-4419.23,-12848,2.24666,0.166
2988000,12,-4418.16,-12831.4,13.6263,0.18
2989000,1,-4444.06,-12810.5,3.84922,0.186
