generation,leftchild,rightchild,abstime,betainit,betashift
0,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.5,0
1000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,3.33026,1.04814
1000,Carex_aggregata|KTY|spm00000685,Carex_pachystylis|UZB|spm00003472,18.3924,7.74501,1.30297
2000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,366.479,0.601912
3000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,5341.17,0.318042
3000,Carex_pudica|JAP|spm00006673,NA,32.5906,1.86289,-0.0379128
4000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,5339.95,0.283523
5000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,5276.64,0.24386
6000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,5098.64,0.24386
6000,Carex_lepidocarpa_ssp_lepidocarpa|SPA|spm00003215,NA,34.0906,1.18192,0.0399788
6000,Carex_riparia|GRB|NCBI_Blackstock_SM00004,NA,32.9927,1.11103,0.0338978
6000,Carex_foetida|SWI|spm00000565,NA,30.406,0.231244,-0.0495101
6000,Carex_phaeocephala|NEV|spm00001193,NA,32.705,0.701941,-0.00936615
7000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4933.99,0.220755
8000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4851.2,0.220755
9000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4851.83,0.220755
9000,Carex_randalpina|AUT|spm00003098,NA,33.9454,0.851205,0.0621329
10000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4793.24,0.220755
10000,Carex_stenocarpa|CHC|spm00003385,NA,32.9399,0.393381,0.0949768
10000,Carex_tenuiflora|MAN|spm00001313,NA,32.5517,1.19827,-0.00679012
11000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4726.47,0.218992
11000,Carex_lancea|CPP|spm00003764,NA,29.3408,1.81581,0.0450197
12000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4695.32,0.218992
12000,Carex_kitaibeliana|YUG|spm00000539,NA,31.0475,0.577849,-0.0223927
13000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4695.32,0.218992
13000,Carex_augustinowiczii|SAK|spm00007995,NA,32.8588,0.165662,-0.0531972
13000,Carex_ischnostachya|CHS|spm00000062,NA,34.1572,0.616069,0.0411212
13000,Carex_distans|GRC|spm00000844,NA,33.7382,2.11263,0.0527891
13000,Carex_pedunculata|MAS|spm00001147,NA,32.6958,0.0542106,-0.0658462
13000,Carex_kitaibeliana|YUG|spm00000539,NA,33.9172,5.33738,0.0293274
13000,Carex_cruscorvi|FLA|spm00000822,NA,33.9183,0.630479,0.0278886
13000,Carex_multispiculata|NAT|spm00003765,NA,33.388,0.663117,-0.062774
13000,Carex_maackii|JAP|spm00002491,NA,28.6975,0.599404,-0.00830037
14000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4734.93,0.218992
15000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4673.71,0.203576
15000,Carex_angustata|CAL|spm00000713,NA,33.6314,0.519265,0.015428
16000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4673.71,0.203576
17000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4590.6,0.218992
17000,Carex_laticeps|JAP|NCBI_Waterway_3656,NA,32.5787,0.976666,-0.0118385
18000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4607.05,0.180328
19000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4610.17,0.211852
20000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,4621.67,0.220835
